Drive_SGD
There are 6742 1's and 6265 7's in training data
There are 1135 1's and 1028 7's in test data
Initially: f = 3.493136e+01, nor(g) = 1.948851e+01
iter 111: f = 1.440944e+00, norg = 7.600022e-01
iter 112: f = 1.440235e+00, norg = 7.590787e-01
iter 113: f = 1.439535e+00, norg = 7.582139e-01
iter 114: f = 1.438845e+00, norg = 7.574036e-01
iter 115: f = 1.438164e+00, norg = 7.566437e-01
iter 116: f = 1.437491e+00, norg = 7.559309e-01
iter 117: f = 1.436826e+00, norg = 7.552616e-01
iter 118: f = 1.436170e+00, norg = 7.546329e-01
iter 119: f = 1.435522e+00, norg = 7.540420e-01
iter 120: f = 1.434882e+00, norg = 7.534863e-01
iter 121: f = 1.434250e+00, norg = 7.529634e-01
iter 122: f = 1.433625e+00, norg = 7.524711e-01
iter 123: f = 1.433008e+00, norg = 7.520073e-01
iter 124: f = 1.432398e+00, norg = 7.515702e-01
iter 125: f = 1.431796e+00, norg = 7.511580e-01
iter 126: f = 1.431200e+00, norg = 7.507691e-01
iter 127: f = 1.430611e+00, norg = 7.504020e-01
iter 128: f = 1.430029e+00, norg = 7.500553e-01
iter 129: f = 1.429454e+00, norg = 7.497277e-01
iter 130: f = 1.428885e+00, norg = 7.494180e-01
iter 131: f = 1.428322e+00, norg = 7.491251e-01
iter 132: f = 1.427766e+00, norg = 7.488479e-01
iter 133: f = 1.427216e+00, norg = 7.485855e-01
iter 134: f = 1.426672e+00, norg = 7.483370e-01
iter 135: f = 1.426135e+00, norg = 7.481016e-01
iter 136: f = 1.425603e+00, norg = 7.478784e-01
iter 137: f = 1.425076e+00, norg = 7.476667e-01
iter 138: f = 1.424556e+00, norg = 7.474659e-01
iter 139: f = 1.424041e+00, norg = 7.472753e-01
iter 140: f = 1.423531e+00, norg = 7.470944e-01
iter 141: f = 1.423027e+00, norg = 7.469225e-01
iter 142: f = 1.422528e+00, norg = 7.467591e-01
iter 143: f = 1.422034e+00, norg = 7.466038e-01
iter 144: f = 1.421545e+00, norg = 7.464561e-01
iter 145: f = 1.421061e+00, norg = 7.463156e-01
iter 146: f = 1.420582e+00, norg = 7.461818e-01
iter 147: f = 1.420108e+00, norg = 7.460545e-01
iter 148: f = 1.419638e+00, norg = 7.459331e-01
iter 149: f = 1.419174e+00, norg = 7.458176e-01
iter 150: f = 1.418713e+00, norg = 7.457074e-01
iter 151: f = 1.418257e+00, norg = 7.456023e-01
iter 152: f = 1.417805e+00, norg = 7.455021e-01
iter 153: f = 1.417358e+00, norg = 7.454064e-01
iter 154: f = 1.416915e+00, norg = 7.453151e-01
iter 155: f = 1.416476e+00, norg = 7.452279e-01
iter 156: f = 1.416041e+00, norg = 7.451446e-01
iter 157: f = 1.415609e+00, norg = 7.450650e-01
iter 158: f = 1.415182e+00, norg = 7.449889e-01
iter 159: f = 1.414758e+00, norg = 7.449162e-01
iter 160: f = 1.414339e+00, norg = 7.448466e-01
iter 161: f = 1.413922e+00, norg = 7.447800e-01
iter 162: f = 1.413510e+00, norg = 7.447162e-01
iter 163: f = 1.413101e+00, norg = 7.446551e-01
iter 164: f = 1.412695e+00, norg = 7.445966e-01
iter 165: f = 1.412293e+00, norg = 7.445406e-01
iter 166: f = 1.411894e+00, norg = 7.444869e-01
iter 167: f = 1.411498e+00, norg = 7.444354e-01
iter 168: f = 1.411105e+00, norg = 7.443860e-01
iter 169: f = 1.410716e+00, norg = 7.443386e-01
iter 170: f = 1.410330e+00, norg = 7.442931e-01
iter 171: f = 1.409946e+00, norg = 7.442494e-01
iter 172: f = 1.409566e+00, norg = 7.442074e-01
