Drive_SGD
There are 6742 1's and 6265 7's in training data
There are 1135 1's and 1028 7's in test data
Initially: f = 3.493136e+01, nor(g) = 1.948851e+01
iter 0: f = 2.133458e+01, norg = 1.404526e+01
iter 1: f = 2.500822e+00, norg = 1.725920e+00
iter 2: f = 2.252957e+00, norg = 1.462735e+00
iter 3: f = 2.121271e+00, norg = 1.279860e+00
iter 4: f = 2.043680e+00, norg = 1.097732e+00
iter 5: f = 1.994067e+00, norg = 9.938414e-01
iter 6: f = 1.957169e+00, norg = 9.571796e-01
iter 7: f = 1.927390e+00, norg = 9.383427e-01
iter 8: f = 1.902458e+00, norg = 9.249542e-01
iter 9: f = 1.881119e+00, norg = 9.151130e-01
iter 10: f = 1.862528e+00, norg = 9.079500e-01
iter 11: f = 1.846080e+00, norg = 9.026820e-01
iter 12: f = 1.831346e+00, norg = 8.987134e-01
iter 13: f = 1.818015e+00, norg = 8.956420e-01
iter 14: f = 1.805858e+00, norg = 8.932054e-01
iter 15: f = 1.794700e+00, norg = 8.912306e-01
iter 16: f = 1.784398e+00, norg = 8.896010e-01
iter 17: f = 1.774831e+00, norg = 8.882355e-01
iter 18: f = 1.765903e+00, norg = 8.870761e-01
iter 19: f = 1.757538e+00, norg = 8.860803e-01
iter 20: f = 1.749675e+00, norg = 8.852164e-01
iter 21: f = 1.742262e+00, norg = 8.844599e-01
iter 22: f = 1.735256e+00, norg = 8.837920e-01
iter 23: f = 1.728617e+00, norg = 8.831978e-01
iter 24: f = 1.722312e+00, norg = 8.826653e-01
iter 25: f = 1.716310e+00, norg = 8.821851e-01
iter 26: f = 1.710586e+00, norg = 8.817491e-01
iter 27: f = 1.705114e+00, norg = 8.813511e-01
iter 28: f = 1.699875e+00, norg = 8.809857e-01
iter 29: f = 1.694849e+00, norg = 8.806485e-01
iter 30: f = 1.690020e+00, norg = 8.803356e-01
iter 31: f = 1.685372e+00, norg = 8.800440e-01
iter 32: f = 1.680893e+00, norg = 8.797709e-01
iter 33: f = 1.676571e+00, norg = 8.795140e-01
iter 34: f = 1.672396e+00, norg = 8.792713e-01
iter 35: f = 1.668359e+00, norg = 8.790411e-01
iter 36: f = 1.664452e+00, norg = 8.788220e-01
iter 37: f = 1.660667e+00, norg = 8.786125e-01
iter 38: f = 1.656998e+00, norg = 8.784116e-01
iter 39: f = 1.653438e+00, norg = 8.782183e-01
iter 40: f = 1.649982e+00, norg = 8.780316e-01
iter 41: f = 1.646625e+00, norg = 8.778508e-01
iter 42: f = 1.643362e+00, norg = 8.776752e-01
iter 43: f = 1.640187e+00, norg = 8.775041e-01
iter 44: f = 1.637097e+00, norg = 8.773370e-01
iter 45: f = 1.634087e+00, norg = 8.771732e-01
iter 46: f = 1.631154e+00, norg = 8.770124e-01
iter 47: f = 1.628293e+00, norg = 8.768541e-01
iter 48: f = 1.625502e+00, norg = 8.766978e-01
iter 49: f = 1.622777e+00, norg = 8.765431e-01
iter 50: f = 1.620116e+00, norg = 8.763896e-01
iter 51: f = 1.617515e+00, norg = 8.762368e-01
iter 52: f = 1.614973e+00, norg = 8.760844e-01
iter 53: f = 1.612487e+00, norg = 8.759317e-01
iter 54: f = 1.610055e+00, norg = 8.757785e-01
iter 55: f = 1.607675e+00, norg = 8.756239e-01
iter 56: f = 1.605345e+00, norg = 8.754675e-01
iter 57: f = 1.603063e+00, norg = 8.753086e-01
iter 58: f = 1.600828e+00, norg = 8.751463e-01
iter 59: f = 1.598638e+00, norg = 8.749796e-01
iter 60: f = 1.596490e+00, norg = 8.748076e-01
iter 61: f = 1.594385e+00, norg = 8.746289e-01
iter 62: f = 1.592320e+00, norg = 8.744422e-01
iter 63: f = 1.590294e+00, norg = 8.742456e-01
iter 64: f = 1.588305e+00, norg = 8.740372e-01
iter 65: f = 1.586352e+00, norg = 8.738148e-01
iter 66: f = 1.584435e+00, norg = 8.735756e-01
iter 67: f = 1.582552e+00, norg = 8.733165e-01
iter 68: f = 1.580701e+00, norg = 8.730341e-01
iter 69: f = 1.578882e+00, norg = 8.727241e-01
iter 70: f = 1.577094e+00, norg = 8.723820e-01
iter 71: f = 1.575335e+00, norg = 8.720022e-01
iter 72: f = 1.573605e+00, norg = 8.715786e-01
iter 73: f = 1.571903e+00, norg = 8.711044e-01
iter 74: f = 1.570228e+00, norg = 8.705717e-01
iter 75: f = 1.568580e+00, norg = 8.699717e-01
iter 76: f = 1.566956e+00, norg = 8.692947e-01
iter 77: f = 1.565358e+00, norg = 8.685300e-01
iter 78: f = 1.563784e+00, norg = 8.676659e-01
iter 79: f = 1.562233e+00, norg = 8.666896e-01
iter 80: f = 1.560705e+00, norg = 8.655876e-01
iter 81: f = 1.559199e+00, norg = 8.643455e-01
iter 82: f = 1.557715e+00, norg = 8.629485e-01
iter 83: f = 1.556251e+00, norg = 8.613814e-01
iter 84: f = 1.554809e+00, norg = 8.596292e-01
iter 85: f = 1.553386e+00, norg = 8.576774e-01
iter 86: f = 1.551984e+00, norg = 8.555126e-01
iter 87: f = 1.550600e+00, norg = 8.531230e-01
iter 88: f = 1.549235e+00, norg = 8.504991e-01
iter 89: f = 1.547888e+00, norg = 8.476345e-01
iter 90: f = 1.546560e+00, norg = 8.445263e-01
iter 91: f = 1.545249e+00, norg = 8.411759e-01
iter 92: f = 1.543955e+00, norg = 8.375890e-01
iter 93: f = 1.542678e+00, norg = 8.337764e-01
iter 94: f = 1.541417e+00, norg = 8.297538e-01
iter 95: f = 1.540172e+00, norg = 8.255414e-01
iter 96: f = 1.538944e+00, norg = 8.211637e-01
iter 97: f = 1.537730e+00, norg = 8.166484e-01
iter 98: f = 1.536532e+00, norg = 8.120262e-01
iter 99: f = 1.535348e+00, norg = 8.073290e-01
iter 100: f = 1.534179e+00, norg = 8.025894e-01
iter # 101: f = 1.53417935393372, |df| = 8.0259e-01
CPUtime = 3.866371e+01, iter = 101
n_correct = 2072, n_wrong = 91, accuracy 9.579288e-01 percent
diary off
