Drive_SNAG
There are 6742 1's and 6265 7's in training data
There are 1135 1's and 1028 7's in test data
Initially: f = 3.493136e+01, nor(g) = 1.948851e+01
iter 2: f = 3.455990e+01, norg = 1.929383e+01
iter 3: f = 3.398034e+01, norg = 1.891696e+01
iter 4: f = 3.327504e+01, norg = 1.846790e+01
iter 5: f = 3.249409e+01, norg = 1.805892e+01
iter 6: f = 3.162324e+01, norg = 1.763884e+01
iter 7: f = 3.069213e+01, norg = 1.723127e+01
iter 8: f = 2.973648e+01, norg = 1.684838e+01
iter 9: f = 2.871301e+01, norg = 1.643662e+01
iter 10: f = 2.760574e+01, norg = 1.602078e+01
iter 11: f = 2.649297e+01, norg = 1.558823e+01
iter 12: f = 2.537364e+01, norg = 1.514819e+01
iter 13: f = 2.425636e+01, norg = 1.462760e+01
iter 14: f = 2.314304e+01, norg = 1.411458e+01
iter 15: f = 2.205075e+01, norg = 1.355281e+01
iter 16: f = 2.099838e+01, norg = 1.301261e+01
iter 17: f = 1.995037e+01, norg = 1.241979e+01
iter 18: f = 1.893735e+01, norg = 1.184612e+01
iter 19: f = 1.798681e+01, norg = 1.126254e+01
iter 20: f = 1.706331e+01, norg = 1.071902e+01
iter 21: f = 1.616641e+01, norg = 1.021933e+01
iter 22: f = 1.529145e+01, norg = 9.713805e+00
iter 23: f = 1.444458e+01, norg = 9.233403e+00
iter 24: f = 1.363042e+01, norg = 8.766719e+00
iter 25: f = 1.288248e+01, norg = 8.323109e+00
iter 26: f = 1.218136e+01, norg = 7.909384e+00
iter 27: f = 1.152670e+01, norg = 7.501869e+00
iter 28: f = 1.090150e+01, norg = 7.087141e+00
iter 29: f = 1.031589e+01, norg = 6.698966e+00
iter 30: f = 9.768997e+00, norg = 6.308410e+00
iter 31: f = 9.265068e+00, norg = 5.952651e+00
iter 32: f = 8.807861e+00, norg = 5.651250e+00
iter 33: f = 8.388554e+00, norg = 5.381060e+00
iter 34: f = 7.997146e+00, norg = 5.144254e+00
iter 35: f = 7.626081e+00, norg = 4.921032e+00
iter 36: f = 7.282547e+00, norg = 4.696072e+00
iter 37: f = 6.960880e+00, norg = 4.491299e+00
iter 38: f = 6.659672e+00, norg = 4.290970e+00
iter 39: f = 6.376854e+00, norg = 4.107515e+00
iter 40: f = 6.110020e+00, norg = 3.933711e+00
iter 41: f = 5.858218e+00, norg = 3.769038e+00
iter 42: f = 5.618162e+00, norg = 3.622839e+00
iter 43: f = 5.391735e+00, norg = 3.453030e+00
iter 44: f = 5.176714e+00, norg = 3.310846e+00
iter 45: f = 4.973025e+00, norg = 3.211271e+00
iter 46: f = 4.776909e+00, norg = 3.076005e+00
iter 47: f = 4.591751e+00, norg = 2.974439e+00
iter 48: f = 4.417914e+00, norg = 2.872034e+00
