Drive_SNAG
There are 6742 1's and 6265 7's in training data
There are 1135 1's and 1028 7's in test data
Initially: f = 3.493136e+01, nor(g) = 1.948851e+01
iter 113: f = 1.035586e+00, norg = 3.862013e-01
iter 114: f = 1.025714e+00, norg = 3.824680e-01
iter 115: f = 1.016145e+00, norg = 3.781305e-01
iter 116: f = 1.006719e+00, norg = 3.727136e-01
iter 117: f = 9.976041e-01, norg = 3.674167e-01
iter 118: f = 9.888496e-01, norg = 3.633470e-01
iter 119: f = 9.804055e-01, norg = 3.603214e-01
iter 120: f = 9.722400e-01, norg = 3.575193e-01
iter 121: f = 9.642383e-01, norg = 3.541077e-01
iter 122: f = 9.564885e-01, norg = 3.495088e-01
iter 123: f = 9.489506e-01, norg = 3.437150e-01
iter 124: f = 9.417101e-01, norg = 3.375070e-01
iter 125: f = 9.347244e-01, norg = 3.322966e-01
iter 126: f = 9.276749e-01, norg = 3.280689e-01
iter 127: f = 9.208122e-01, norg = 3.245690e-01
iter 128: f = 9.141283e-01, norg = 3.210476e-01
iter 129: f = 9.074824e-01, norg = 3.169484e-01
iter 130: f = 9.008566e-01, norg = 3.118921e-01
iter 131: f = 8.942545e-01, norg = 3.058279e-01
iter 132: f = 8.878283e-01, norg = 2.995260e-01
iter 133: f = 8.816105e-01, norg = 2.938706e-01
iter 134: f = 8.756852e-01, norg = 2.889421e-01
iter 135: f = 8.698759e-01, norg = 2.841037e-01
iter 136: f = 8.641972e-01, norg = 2.792997e-01
iter 137: f = 8.587761e-01, norg = 2.751038e-01
iter 138: f = 8.535323e-01, norg = 2.712292e-01
iter 139: f = 8.485067e-01, norg = 2.676093e-01
iter 140: f = 8.436041e-01, norg = 2.648287e-01
iter 141: f = 8.386713e-01, norg = 2.622955e-01
iter 142: f = 8.338706e-01, norg = 2.592034e-01
iter 143: f = 8.292650e-01, norg = 2.554025e-01
iter 144: f = 8.248818e-01, norg = 2.520088e-01
iter 145: f = 8.206836e-01, norg = 2.495527e-01
iter 146: f = 8.166707e-01, norg = 2.476496e-01
iter 147: f = 8.127394e-01, norg = 2.458734e-01
iter 148: f = 8.088262e-01, norg = 2.439288e-01
iter 149: f = 8.049454e-01, norg = 2.417039e-01
iter 150: f = 8.011485e-01, norg = 2.394672e-01
iter 151: f = 7.975235e-01, norg = 2.376512e-01
iter 152: f = 7.940194e-01, norg = 2.362134e-01
iter 153: f = 7.905334e-01, norg = 2.347949e-01
iter 154: f = 7.871239e-01, norg = 2.332812e-01
iter 155: f = 7.837513e-01, norg = 2.315331e-01
iter 156: f = 7.802329e-01, norg = 2.292966e-01
iter 157: f = 7.768158e-01, norg = 2.269224e-01
iter 158: f = 7.733845e-01, norg = 2.242503e-01
iter 159: f = 7.699202e-01, norg = 2.214100e-01
iter 160: f = 7.665950e-01, norg = 2.186898e-01
iter 161: f = 7.633262e-01, norg = 2.160034e-01
iter 162: f = 7.601994e-01, norg = 2.135167e-01
iter 163: f = 7.572300e-01, norg = 2.113795e-01
iter 164: f = 7.542774e-01, norg = 2.093705e-01
iter 165: f = 7.514390e-01, norg = 2.075098e-01
iter 166: f = 7.486675e-01, norg = 2.057245e-01
iter 167: f = 7.459913e-01, norg = 2.040349e-01
iter 168: f = 7.432996e-01, norg = 2.023363e-01
iter 169: f = 7.404895e-01, norg = 2.004056e-01
iter 170: f = 7.377921e-01, norg = 1.985454e-01
iter 171: f = 7.351470e-01, norg = 1.968282e-01
iter 172: f = 7.325850e-01, norg = 1.951299e-01
iter 173: f = 7.299100e-01, norg = 1.929301e-01
iter 174: f = 7.272349e-01, norg = 1.904913e-01
iter 175: f = 7.246842e-01, norg = 1.882362e-01
iter 176: f = 7.221536e-01, norg = 1.860243e-01
iter 177: f = 7.197094e-01, norg = 1.840524e-01
iter 178: f = 7.173371e-01, norg = 1.822670e-01
iter 179: f = 7.150428e-01, norg = 1.805598e-01
iter 180: f = 7.128194e-01, norg = 1.788564e-01
iter 181: f = 7.106480e-01, norg = 1.771047e-01
iter 182: f = 7.085387e-01, norg = 1.752943e-01
iter 183: f = 7.064840e-01, norg = 1.733904e-01
iter 184: f = 7.045107e-01, norg = 1.714754e-01
iter 185: f = 7.025884e-01, norg = 1.695433e-01
iter 186: f = 7.007160e-01, norg = 1.677483e-01
iter 187: f = 6.989076e-01, norg = 1.660677e-01
iter 188: f = 6.971484e-01, norg = 1.646196e-01
iter 189: f = 6.954242e-01, norg = 1.633548e-01
iter 190: f = 6.937346e-01, norg = 1.622184e-01
iter 191: f = 6.920695e-01, norg = 1.611413e-01
iter 192: f = 6.904423e-01, norg = 1.601790e-01
iter 193: f = 6.888457e-01, norg = 1.593495e-01
iter 194: f = 6.872942e-01, norg = 1.586444e-01
iter 195: f = 6.857495e-01, norg = 1.580821e-01
iter 196: f = 6.842500e-01, norg = 1.576647e-01
iter 197: f = 6.827921e-01, norg = 1.573235e-01
iter 198: f = 6.813370e-01, norg = 1.569927e-01
iter 199: f = 6.799210e-01, norg = 1.567278e-01
iter 200: f = 6.785506e-01, norg = 1.564877e-01
iter 201: f = 6.772216e-01, norg = 1.563014e-01
iter 202: f = 6.759115e-01, norg = 1.560980e-01
iter # 202: f = 0.67591146879493, |df| = 1.5610e-01
CPUtime = 1.565227e+02, iter = 203
n_correct = 2117, n_wrong = 46, accuracy 9.787332e-01 percent
diary off
