Drive_SAdam
There are 6742 1's and 6265 7's in training data
There are 1135 1's and 1028 7's in test data
Initially: f = 2.789770e+01, nor(g) = 1.939665e+01
iter 2: f = 2.669362e+01, norg = 1.938796e+01
iter 3: f = 2.547910e+01, norg = 1.901186e+01
iter 4: f = 2.429444e+01, norg = 1.834645e+01
iter 5: f = 2.324405e+01, norg = 1.749789e+01
iter 6: f = 2.237307e+01, norg = 1.668754e+01
iter 7: f = 2.162581e+01, norg = 1.595090e+01
iter 8: f = 2.092694e+01, norg = 1.540153e+01
iter 9: f = 2.025193e+01, norg = 1.500901e+01
iter 10: f = 1.965746e+01, norg = 1.461558e+01
iter 11: f = 1.917311e+01, norg = 1.430168e+01
iter 12: f = 1.877180e+01, norg = 1.404833e+01
iter 13: f = 1.824348e+01, norg = 1.375924e+01
iter 14: f = 1.759433e+01, norg = 1.349053e+01
iter 15: f = 1.701216e+01, norg = 1.328879e+01
iter 16: f = 1.645693e+01, norg = 1.309853e+01
iter 17: f = 1.591895e+01, norg = 1.290044e+01
iter 18: f = 1.537739e+01, norg = 1.270580e+01
iter 19: f = 1.481422e+01, norg = 1.254453e+01
iter 20: f = 1.425633e+01, norg = 1.241469e+01
iter 21: f = 1.370828e+01, norg = 1.229858e+01
iter 22: f = 1.318196e+01, norg = 1.220847e+01
iter 23: f = 1.262072e+01, norg = 1.207502e+01
iter 24: f = 1.205923e+01, norg = 1.193848e+01
iter 25: f = 1.149171e+01, norg = 1.179771e+01
iter 26: f = 1.092330e+01, norg = 1.167520e+01
iter 27: f = 1.036633e+01, norg = 1.155732e+01
iter 28: f = 9.804101e+00, norg = 1.145134e+01
iter 29: f = 9.223527e+00, norg = 1.135225e+01
iter 30: f = 8.643787e+00, norg = 1.123532e+01
iter 31: f = 8.058736e+00, norg = 1.111074e+01
iter 32: f = 7.479805e+00, norg = 1.097489e+01
iter 33: f = 6.912647e+00, norg = 1.083087e+01
iter 34: f = 6.336091e+00, norg = 1.068095e+01
iter 35: f = 5.776467e+00, norg = 1.052575e+01
iter 36: f = 5.233381e+00, norg = 1.033375e+01
iter 37: f = 4.696847e+00, norg = 1.009346e+01
iter 38: f = 4.195638e+00, norg = 9.772325e+00
iter 39: f = 3.724767e+00, norg = 9.390603e+00
iter 40: f = 3.301161e+00, norg = 9.004704e+00
iter 41: f = 2.937564e+00, norg = 8.730625e+00
iter 42: f = 2.673756e+00, norg = 8.676857e+00
iter 43: f = 2.520152e+00, norg = 8.543730e+00
iter 44: f = 2.469791e+00, norg = 8.279576e+00
iter 45: f = 2.456693e+00, norg = 7.915207e+00
iter 46: f = 2.363141e+00, norg = 7.381077e+00
iter 47: f = 2.220789e+00, norg = 6.805350e+00
iter 48: f = 2.023691e+00, norg = 6.179670e+00
iter 49: f = 1.783998e+00, norg = 5.578941e+00
